DD MMM YYYY;HH:MM:SS;temp;FLUO;Par;conductivité ;Oxygène;turbidité;Sal00;profondeur;densité
;;°C;µg/L;µeinstein/m²/s;mS/cm; ml/L;NTU;;m;Sigma-é00
30/01/2024;08:58:08;10,5172;0,4722;6,0071;37,328152;6,0658;2,9789;33,7328;8;25,874
30/01/2024;08:58:12;10,5215;0,4894;6,7715;37,320631;6,062;2,8442;33,7213;7,75;25,8644
30/01/2024;08:58:15;10,5217;0,4678;7,2884;37,319302;6,0751;2,8649;33,7199;7,5;25,8632
30/01/2024;08:58:36;10,5148;0,5056;7,6434;37,328066;6,0585;2,8171;33,7351;7,25;25,8763
30/01/2024;08:58:39;10,5218;0,5355;8,8772;37,328055;6,0511;2,8175;33,7288;7;25,8701
30/01/2024;08:58:41;10,5215;0,5224;9,8628;37,326152;6,0842;2,8047;33,7273;6,75;25,869
30/01/2024;08:58:43;10,5213;0,5452;10,83;37,323591;6,0787;2,8395;33,725;6,5;25,8673
30/01/2024;08:58:45;10,5209;0,5006;12,109;37,320357;6,0819;2,8842;33,7222;6,25;25,8651
30/01/2024;08:58:47;10,5223;0,5226;13,053;37,319708;6,0805;2,8827;33,7204;6;25,8635
30/01/2024;08:58:49;10,5235;0,4641;14,075;37,319426;6,0811;2,8945;33,7191;5,75;25,8623
30/01/2024;08:58:51;10,5223;0,4985;15,607;37,315312;6,0833;2,9501;33,7162;5,5;25,8602
30/01/2024;08:58:52;10,5213;0,492;16,687;37,307916;6,0842;2,8567;33,7098;5,25;25,8553
30/01/2024;08:58:55;10,521;0,5112;17,909;37,303571;6,0864;2,8483;33,7058;5;25,8524
30/01/2024;08:58:57;10,5212;0,5282;20,011;37,29521;6,093;2,8327;33,6973;4,75;25,8456
30/01/2024;08:58:59;10,5203;0,5107;22,716;37,292159;6,0911;2,8587;33,6952;4,5;25,8441
30/01/2024;08:59:01;10,521;0,5249;24,785;37,292307;6,0924;2,9175;33,6948;4,25;25,8438
30/01/2024;08:59:02;10,5211;0,4895;26,763;37,29124;6,0927;2,8931;33,6938;4;25,8429
30/01/2024;08:59:04;10,5203;0,47;29,38;37,289353;6,0868;2,9092;33,6927;3,75;25,8422
30/01/2024;08:59:05;10,5198;0,4856;30,574;37,288544;6,0811;2,9968;33,6925;3,5;25,8421
30/01/2024;08:59:20;10,5175;0,4853;30,398;37,28471;6,0864;2,9153;33,6909;3,25;25,8412
30/01/2024;08:59:33;10,5198;0,4963;37,279;37,286851;6,0933;2,914;33,691;3;25,8409
30/01/2024;08:59:34;10,5204;0,468;40,457;37,28711;6,0763;2,8759;33,6908;2,75;25,8407
30/01/2024;08:59:36;10,52;0,4722;42,976;37,287306;6,0685;2,8598;33,6915;2,5;25,8412
30/01/2024;08:59:38;10,5189;0,4788;46,248;37,286496;6,094;2,9732;33,6918;2,25;25,8417
30/01/2024;08:59:40;10,5192;0,46;52,305;37,287287;6,096;2,9537;33,6924;2;25,8421
30/01/2024;08:59:42;10,5192;0,452;56,486;37,287794;6,0888;2,8145;33,6931;1,75;25,8426
30/01/2024;08:59:44;10,5191;0,4207;58,976;37,287846;6,0875;2,7763;33,6933;1,5;25,8428
30/01/2024;08:59:47;10,5194;0,4029;64,906;37,288858;6,0805;2,7631;33,6942;1,25;25,8435
30/01/2024;08:59:49;10,5197;0,3939;56,72;37,28705;6,0891;2,8026;33,6922;1;25,8419
