// SOMLIT somlit.fr;;;;;;;
// ctd Export;2021-01-19;10:47:19;;;;;
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;PAR;SALINITE;PROFONDEUR
//;(yyyy-mm-dd);(hh:mm:ss);°C;;;PSU;m
;;;;;;;
5;2025-01-06;08:32:28;11,2164;999999;30,078;34,1167;0,75
5;2025-01-06;08:32:31;11,2163;999999;26,931;34,1167;1
5;2025-01-06;08:32:33;11,2166;999999;24,014;34,1167;1,25
5;2025-01-06;08:32:35;11,2171;999999;23,416;34,1169;1,5
5;2025-01-06;08:32:38;11,2177;999999;18,681;34,1163;1,75
5;2025-01-06;08:32:40;11,2172;999999;18,859;34,1169;2
5;2025-01-06;08:32:42;11,2175;999999;16,043;34,1167;2,25
5;2025-01-06;08:32:44;11,2163;999999;15,008;34,1158;2,5
5;2025-01-06;08:32:47;11,2156;999999;14,366;34,1166;2,75
5;2025-01-06;08:32:51;11,2157;999999;12,322;34,117;3
5;2025-01-06;08:32:53;11,2161;999999;10,553;34,1163;3,25
5;2025-01-06;08:32:55;11,2158;999999;10,22;34,1165;3,5
5;2025-01-06;08:32:57;11,2153;999999;9,2527;34,1158;3,75
5;2025-01-06;08:32:59;11,2149;999999;8,1429;34,1155;4
5;2025-01-06;08:33:01;11,215;999999;7,6509;34,1153;4,25
5;2025-01-06;08:33:03;11,2153;999999;7,121;34,1158;4,5
5;2025-01-06;08:33:05;11,2178;999999;6,3542;34,1167;4,75
5;2025-01-06;08:33:08;11,2193;999999;5,9107;34,1168;5
5;2025-01-06;08:33:10;11,2213;999999;5,0891;34,118;5,25
5;2025-01-06;08:33:12;11,2243;999999;4,7887;34,1186;5,5
5;2025-01-06;08:33:14;11,2276;999999;4,4043;34,1187;5,75
5;2025-01-06;08:33:16;11,2294;999999;4,0862;34,1193;6
5;2025-01-06;08:33:19;11,2315;999999;3,8507;34,1188;6,25
5;2025-01-06;08:33:22;11,2296;999999;3,2222;34,1175;6,5
5;2025-01-06;08:33:24;11,2257;999999;3,1794;34,1165;6,75
5;2025-01-06;08:33:26;11,2256;999999;2,8436;34,1193;7
5;2025-01-06;08:33:29;11,2319;999999;2,5917;34,1198;7,25
5;2025-01-06;08:33:31;11,2332;999999;2,4406;34,1191;7,5
5;2025-01-06;08:33:34;11,2325;999999;2,0962;34,1188;7,75
5;2025-01-06;08:33:36;11,2325;999999;1,9363;34,1191;8
5;2025-01-06;08:33:39;11,2325;999999;1,871;34,1189;8,25
5;2025-01-06;08:33:42;11,2323;999999;1,6221;34,1185;8,5
5;2025-01-06;08:33:45;11,2315;999999;1,5148;34,1187;8,75
5;2025-01-06;08:33:48;11,2329;999999;1,2957;34,119;9
5;2025-01-06;08:33:50;11,2326;999999;1,1665;34,1186;9,25
5;2025-01-06;08:33:56;11,2336;999999;1,1612;34,1191;9,5
