// SOMLIT somlit.fr;;;;;;;
// RBR processing IUEM;2025-06-30;13:43:50;;;;;
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;PAR;SALINITE;PROFONDEUR
//;(yyyy-mm-dd);(hh:mm:ss);°C;µg/l;µMol/m²/s;PSU;m
;;;;;;;
5;2024-01-30;08:57:07;10.5166;1.0;40.391;33.6895;1.0
5;2024-01-30;08:57:08;10.5163;1.0;35.489;33.6909;1.25
5;2024-01-30;08:57:10;10.5164;1.0;32.037;33.6928;1.5
5;2024-01-30;08:57:12;10.5164;1.0;29.976;33.6938;1.75
5;2024-01-30;08:57:14;10.5164;1.0;26.432;33.6948;2.0
5;2024-01-30;08:57:16;10.5166;1.0;23.696;33.6945;2.25
5;2024-01-30;08:57:18;10.5165;1.0;21.576;33.6943;2.5
5;2024-01-30;08:57:20;10.5164;1.0;19.745;33.6947;2.75
5;2024-01-30;08:57:21;10.5165;1.0;17.841;33.6951;3.0
5;2024-01-30;08:57:23;10.5166;1.0;16.363;33.6958;3.25
5;2024-01-30;08:57:26;10.5165;1.0;14.697;33.6948;3.5
5;2024-01-30;08:57:27;10.5165;1.0;13.131;33.6958;3.75
5;2024-01-30;08:57:29;10.5166;1.0;12.211;33.6965;4.0
5;2024-01-30;08:57:31;10.5165;1.0;11.428;33.6958;4.25
5;2024-01-30;08:57:33;10.5165;1.0;10.642;33.6961;4.5
5;2024-01-30;08:57:34;10.5164;1.0;9.506;33.6978;4.75
5;2024-01-30;08:57:37;10.5163;1.0;8.81;33.6988;5.0
5;2024-01-30;08:57:39;10.5162;1.0;7.955;33.7018;5.25
5;2024-01-30;08:57:41;10.516;1.0;7.273;33.7063;5.5
5;2024-01-30;08:57:43;10.5158;1.0;6.668;33.711;5.75
5;2024-01-30;08:57:45;10.5158;1.0;6.167;33.7125;6.0
5;2024-01-30;08:57:46;10.5158;1.0;5.704;33.7097;6.25
5;2024-01-30;08:57:48;10.516;1.0;5.223;33.7112;6.5
5;2024-01-30;08:57:50;10.5159;1.0;4.686;33.7185;6.75
5;2024-01-30;08:57:52;10.5158;1.0;4.35;33.7283;7.0
5;2024-01-30;08:57:54;10.516;1.0;3.854;33.7273;7.25
5;2024-01-30;08:57:56;10.5157;1.0;3.478;33.7376;7.5
