// Creator: RBR Ltd.
// Create time: 2025-06-13T08:32:37
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/PROJETS/2025/Proc_RBR_Somlit/20240606/231853_20240607_1104 somlit 21.rsk opened using pyRSKtools v1.1.1.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Remove loops with the threshold of 0.05 m/s.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Depth calculated using the TEOS-10 library and a latitude of 45.0 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	Binned with respect to depth using [ 0.625 12.   ] boundaries with [0.25] m bin size.
// Comment: down CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    temperature(°C),    chlorophyll-a(ug/l),    par(µMol/m²/s),    conductivity(mS/cm),    dissolved_o2_concentration(µmol/L),    turbidity(FTU),    salinity(PSU),    depth(m),    density_anomaly(kg/m³),    cast_direction
2024-06-03T13:36:17.000,    15.948492431640625,    1.31680006980896,    707.34697265625,    43.11082458496094,    292.546923828125,    0.5638399958610535,    34.33709740649727,    0.75,    25.253524428843228,    d
2024-06-03T13:36:19.500,    15.927716064453126,    1.317900037765503,    782.1995727539063,    43.10393142700195,    292.04620971679685,    0.5661999821662903,    34.3488762588201,    1.0,    25.267306951594854,    d
2024-06-03T13:36:22.000,    15.915399169921875,    1.2558000326156615,    1098.513671875,    43.097947692871095,    292.2462097167969,    0.5663399815559387,    34.354145784157666,    1.25,    25.27416152065107,    d
2024-06-03T13:36:24.750,    15.907358805338541,    1.4130000571409862,    769.780517578125,    43.077754974365234,    292.5762888590495,    0.5624499917030334,    34.3430220239828,    1.5,    25.267441339984355,    d
2024-06-03T13:36:27.250,    15.88299560546875,    1.3073750436306,    1222.8629608154297,    43.057621002197266,    292.0741958618164,    0.5306124836206436,    34.346113325734635,    1.75,    25.275349654501497,    d
2024-06-03T13:36:29.250,    15.887809753417969,    1.3367500603199005,    870.9351043701172,    43.067352294921875,    292.993408203125,    0.6241124868392944,    34.350523534658684,    2.0,    25.27765813828296,    d
2024-06-03T13:36:31.750,    15.860178629557291,    1.2783334056536357,    1008.6271464029948,    43.04650592803955,    293.09136962890625,    0.6668916543324789,    34.355826360159604,    2.25,    25.288001534944442,    d
2024-06-03T13:36:34.500,    15.822735595703126,    1.4415000677108765,    891.86337890625,    43.018079376220705,    292.7276916503906,    0.5733299851417542,    34.36289248492365,    2.5,    25.30191395310926,    d
2024-06-03T13:36:36.750,    15.810111999511719,    1.639250099658966,    801.2181091308594,    42.998087882995605,    292.29014587402344,    0.7564999908208847,    34.35590946026069,    2.75,    25.29940509151544,    d
2024-06-03T13:36:39.000,    15.807589721679687,    1.49660005569458,    897.5820434570312,    42.99930191040039,    292.5923217773437,    0.5416499853134156,    34.35908879882341,    3.0,    25.30242883791584,    d
2024-06-03T13:36:41.500,    15.804608154296876,    1.392400050163269,    692.639501953125,    42.99551620483398,    293.957470703125,    0.6414299964904785,    34.35821026457179,    3.25,    25.3024344964404,    d
2024-06-03T13:36:44.250,    15.799799601236979,    1.539333422978719,    834.9647725423177,    42.99864705403646,    293.18617248535156,    0.6529333094755808,    34.365089179919664,    3.5,    25.308819988951274,    d
2024-06-03T13:36:47.250,    15.795944213867188,    1.6197500824928284,    731.5346984863281,    42.98844782511393,    293.46986897786456,    0.523624986410141,    34.35922090925885,    3.75,    25.30518668404697,    d
2024-06-03T13:36:51.750,    15.794621785481771,    1.5295000473658245,    737.6195882161459,    42.99086316426595,    293.1348063151042,    0.607274979352951,    34.36243014698854,    4.0,    25.307962409028885,    d
2024-06-03T13:36:54.500,    15.79716796875,    1.445500087738037,    673.96162109375,    42.986637878417966,    292.36054077148435,    0.5393599748611451,    34.35633482206369,    4.25,    25.302708908599925,    d
2024-06-03T13:36:57.000,    15.8008056640625,    1.8379000663757323,    571.55986328125,    42.987840270996095,    292.8286193847656,    0.537939989566803,    34.35415618124968,    4.5,    25.30022003062704,    d
2024-06-03T13:36:59.750,    15.800994873046875,    1.733000099658966,    379.9486389160156,    42.98638916015625,    293.70673116048175,    0.7795583158731461,    34.35259744215378,    4.75,    25.298987196863248,    d
2024-06-03T13:37:02.750,    15.799067179361979,    1.742750068505605,    201.3946762084961,    42.988075256347656,    292.45624287923175,    0.5979999899864197,    34.35568273664486,    5.0,    25.301804075390425,    d
2024-06-03T13:37:05.750,    15.797465006510416,    1.961500108242035,    167.86351521809897,    42.98820432027181,    292.96263122558594,    0.5516166488329569,    34.357095512240846,    5.25,    25.303260944858796,    d
2024-06-03T13:37:09.000,    15.797886439732142,    1.9168572085244315,    170.9848916190011,    42.989274161202566,    293.41305106026783,    0.5257928414004189,    34.357585389318466,    5.5,    25.303551471896785,    d
2024-06-03T13:37:12.250,    15.798311869303385,    1.933583398660024,    207.53802490234375,    42.98698425292969,    292.9412384033203,    0.533683309952418,    34.35506681268132,    5.75,    25.30152750329167,    d
2024-06-03T13:37:15.500,    15.797860281808036,    1.9664286715643746,    135.37843213762557,    42.992349352155415,    293.5025111607143,    0.5723428385598319,    34.36015177393677,    6.0,    25.305549466699794,    d
2024-06-03T13:37:18.750,    15.801925659179688,    2.261916776498159,    103.88838068644206,    42.992920557657875,    293.12839762369794,    0.7090499997138977,    34.35702846997955,    6.25,    25.302238181381995,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.5,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.75,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.0,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.25,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.5,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.75,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.0,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.25,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.5,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.75,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.0,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.25,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.5,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.75,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.0,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.25,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.5,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.75,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.0,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.25,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.5,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.75,    nan,    d
2024-06-03T13:36:14.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    12.0,    nan,    d
