// Creator: RBR Ltd.
// Create time: 2025-06-13T08:32:37
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/PROJETS/2025/Proc_RBR_Somlit/20240606/231853_20240607_1104 somlit 21.rsk opened using pyRSKtools v1.1.1.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Remove loops with the threshold of 0.05 m/s.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Depth calculated using the TEOS-10 library and a latitude of 45.0 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	Binned with respect to depth using [12.     0.625] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    temperature(°C),    chlorophyll-a(ug/l),    par(µMol/m²/s),    conductivity(mS/cm),    dissolved_o2_concentration(µmol/L),    turbidity(FTU),    salinity(PSU),    depth(m),    density_anomaly(kg/m³),    cast_direction
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.625,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.875,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.125,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.375,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.625,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.875,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.125,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.375,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.625,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.875,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.125,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.375,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.625,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.875,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.125,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.375,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.625,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.875,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.125,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.375,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.625,    nan,    d
2024-06-03T13:37:20.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.875,    nan,    d
2024-06-03T13:38:57.000,    15.882982042100695,    1.248277849621243,    356.2340325249566,    42.98660193549262,    290.9322238498264,    0.5943888756963942,    34.28324354158124,    0.625,    25.226968245056316,    u
2024-06-03T13:38:53.750,    15.875518798828125,    1.6355000734329224,    404.2319869995117,    42.98608112335205,    291.19066619873047,    0.798024982213974,    34.28913830839686,    0.875,    25.233200572577573,    u
2024-06-03T13:38:51.500,    15.853216552734375,    1.499600100517273,    689.7548706054688,    42.98295593261719,    291.4772521972656,    0.5691199839115143,    34.30558904508207,    1.125,    25.250906712595132,    u
2024-06-03T13:38:49.250,    15.8382568359375,    1.3457500338554382,    633.6405181884766,    42.974069595336914,    290.8418502807617,    0.5456749945878983,    34.31056147713317,    1.375,    25.258120340330777,    u
2024-06-03T13:38:47.250,    15.818222045898438,    1.4652500748634338,    679.3631439208984,    42.972256660461426,    291.37962341308594,    0.6255624890327454,    34.32622625439601,    1.625,    25.274705127540585,    u
2024-06-03T13:38:45.250,    15.811668395996094,    1.5040000975131989,    832.6211700439453,    42.97339916229248,    291.4429626464844,    0.5254999995231628,    34.332835418202606,    1.875,    25.28127780120667,    u
