// SOMLIT somlit.fr;;;;;;;
// RBR processing IUEM;2025-07-01;11:12:04;;;;;
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;PAR;SALINITE;PROFONDEUR
//;(yyyy-mm-dd);(hh:mm:ss);°C;µg/l;µMol/m²/s;PSU;m
;;;;;;;
5;2024-06-20;14:40:42;16.3562;1.0;1007.992;34.4458;0.75
5;2024-06-20;14:40:38;16.3524;1.0;1651.459;34.4517;1.0
5;2024-06-20;14:40:35;16.3511;1.0;1249.208;34.4595;1.25
5;2024-06-20;14:40:32;16.3466;2.0;1134.087;34.4697;1.5
5;2024-06-20;14:40:30;16.3419;1.0;1186.128;34.4764;1.75
5;2024-06-20;14:40:27;16.339;1.0;935.567;34.4847;2.0
5;2024-06-20;14:40:25;16.3362;1.0;873.659;34.4875;2.25
5;2024-06-20;14:40:23;16.3337;1.0;824.189;34.4907;2.5
5;2024-06-20;14:40:21;16.3314;1.0;740.178;34.4926;2.75
5;2024-06-20;14:40:19;16.3268;2.0;672.186;34.4962;3.0
5;2024-06-20;14:40:02;16.3243;1.0;611.29;34.5012;3.25
5;2024-06-20;14:39:45;16.3258;1.0;525.822;34.5093;3.5
5;2024-06-20;14:39:42;16.3256;2.0;549.529;34.5171;3.75
5;2024-06-20;14:39:39;16.3241;2.0;543.772;34.518;4.0
5;2024-06-20;14:39:36;16.3208;2.0;487.066;34.5185;4.25
5;2024-06-20;14:39:33;16.3188;2.0;418.172;34.518;4.5
5;2024-06-20;14:39:30;16.3164;2.0;400.475;34.5189;4.75
5;2024-06-20;14:39:27;16.3152;2.0;359.555;34.534;5.0
5;2024-06-20;14:39:24;16.3155;2.0;265.658;34.5364;5.25
5;2024-06-20;14:39:21;16.3153;2.0;207.786;34.5345;5.5
5;2024-06-20;14:39:18;16.3154;2.0;207.612;34.534;5.75
5;2024-06-20;14:39:15;16.3175;2.0;237.219;34.5275;6.0
5;2024-06-20;14:39:12;16.3173;2.0;243.354;34.5245;6.25
5;2024-06-20;14:39:10;16.3147;2.0;238.194;34.5301;6.5
5;2024-06-20;14:39:07;16.3099;2.0;227.371;34.533;6.75
5;2024-06-20;14:39:00;16.3069;2.0;216.619;34.5366;7.0
5;2024-06-20;14:38:53;16.3072;2.0;206.404;34.5448;7.25
5;2024-06-20;14:38:50;16.3075;2.0;193.813;34.5458;7.5
5;2024-06-20;14:38:46;16.3035;2.0;172.756;34.5474;7.75
5;2024-06-20;14:38:42;16.2999;2.0;125.434;34.5412;8.0
5;2024-06-20;14:38:38;16.2965;2.0;128.894;34.5502;8.25
