// SOMLIT somlit.fr;;;;;;;
// RBR processing IUEM;2025-06-30;12:50:14;;;;;
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;PAR;SALINITE;PROFONDEUR
//;(yyyy-mm-dd);(hh:mm:ss);°C;µg/l;µMol/m²/s;PSU;m
;;;;;;;
5;2024-06-26;07:03:28;16.3318;1.0;424.092;34.807;0.75
5;2024-06-26;07:04:00;16.3326;1.0;250.803;34.7841;1.0
5;2024-06-26;07:04:04;16.33;1.0;228.165;34.7905;1.25
5;2024-06-26;07:04:08;16.3245;1.0;246.67;34.7839;1.5
5;2024-06-26;07:04:12;16.3095;1.0;273.639;34.7824;1.75
5;2024-06-26;07:04:15;16.3067;1.0;268.825;34.7814;2.0
5;2024-06-26;07:04:18;16.3109;1.0;303.753;34.7964;2.25
5;2024-06-26;07:04:22;16.3055;1.0;280.326;34.7846;2.5
5;2024-06-26;07:04:26;16.3031;1.0;309.627;34.7854;2.75
5;2024-06-26;07:04:31;16.2976;1.0;302.228;34.781;3.0
5;2024-06-26;07:04:35;16.2906;1.0;255.348;34.7838;3.25
5;2024-06-26;07:04:39;16.2905;1.0;217.248;34.7819;3.5
5;2024-06-26;07:04:42;16.2918;1.0;217.074;34.7842;3.75
5;2024-06-26;07:04:45;16.2906;2.0;198.79;34.7818;4.0
5;2024-06-26;07:04:49;16.2903;1.0;178.118;34.7847;4.25
5;2024-06-26;07:04:52;16.2888;1.0;169.489;34.7787;4.5
5;2024-06-26;07:04:57;16.2913;3.0;145.262;34.7885;4.75
5;2024-06-26;07:05:00;16.2877;2.0;142.288;34.783;5.0
5;2024-06-26;07:05:06;16.287;2.0;109.086;34.7868;5.25
5;2024-06-26;07:05:10;16.279;2.0;101.88;34.7897;5.5
5;2024-06-26;07:05:14;16.2796;2.0;112.555;34.7844;5.75
5;2024-06-26;07:05:19;16.2826;1.0;109.173;34.7819;6.0
5;2024-06-26;07:05:23;16.2851;2.0;103.055;34.7778;6.25
5;2024-06-26;07:05:28;16.2856;1.0;69.5;34.7848;6.5
5;2024-06-26;07:05:33;16.2836;2.0;64.102;34.7861;6.75
5;2024-06-26;07:05:37;16.2842;2.0;83.081;34.7853;7.0
5;2024-06-26;07:05:41;16.2821;1.0;75.396;34.7836;7.25
5;2024-06-26;07:05:46;16.2788;1.0;67.342;34.7842;7.5
5;2024-06-26;07:05:51;16.2759;1.0;75.355;34.7825;7.75
5;2024-06-26;07:05:55;16.2749;1.0;50.596;34.7804;8.0
5;2024-06-26;07:05:58;16.2755;1.0;38.171;34.78;8.25
5;2024-06-26;07:06:01;16.2767;1.0;40.453;34.7778;8.5
5;2024-06-26;07:06:06;16.2738;1.0;53.613;34.7814;8.75
5;2024-06-26;07:06:08;16.2755;1.0;51.775;34.78;9.0
