// SOMLIT somlit.fr;;;;;;;
// RBR processing IUEM;2025-07-01;11:12:14;;;;;
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;PAR;SALINITE;PROFONDEUR
//;(yyyy-mm-dd);(hh:mm:ss);°C;µg/l;µMol/m²/s;PSU;m
;;;;;;;
5;2024-07-19;14:24:13;17.1223;1.0;529.001;34.8658;0.75
5;2024-07-19;14:24:15;17.1137;1.0;515.183;34.8747;1.0
5;2024-07-19;14:24:17;17.0794;1.0;455.728;34.8989;1.25
5;2024-07-19;14:24:18;17.0438;1.0;385.667;34.8846;1.5
5;2024-07-19;14:24:20;17.0163;1.0;444.843;34.885;1.75
5;2024-07-19;14:24:22;17.0081;1.0;321.973;34.8947;2.0
5;2024-07-19;14:24:24;16.9962;1.0;333.041;34.8893;2.25
5;2024-07-19;14:24:26;16.9958;1.0;298.163;34.8953;2.5
5;2024-07-19;14:24:28;16.9958;1.0;263.681;34.8974;2.75
5;2024-07-19;14:24:30;16.996;1.0;251.675;34.8961;3.0
5;2024-07-19;14:24:33;16.9903;1.0;239.086;34.9022;3.25
5;2024-07-19;14:24:35;16.9806;1.0;243.521;34.8996;3.5
5;2024-07-19;14:24:36;16.9798;1.0;239.283;34.9027;3.75
5;2024-07-19;14:24:39;16.981;1.0;249.598;34.9098;4.0
5;2024-07-19;14:24:41;16.9805;1.0;244.894;34.9073;4.25
5;2024-07-19;14:24:42;16.9735;2.0;235.442;34.9063;4.5
5;2024-07-19;14:24:45;16.9648;1.0;227.494;34.9132;4.75
5;2024-07-19;14:24:47;16.9509;2.0;230.991;34.9132;5.0
5;2024-07-19;14:24:48;16.9484;1.0;223.157;34.9158;5.25
5;2024-07-19;14:24:51;16.938;1.0;240.599;34.9196;5.5
5;2024-07-19;14:24:53;16.9254;2.0;247.671;34.9265;5.75
5;2024-07-19;14:24:55;16.923;2.0;248.825;34.9246;6.0
5;2024-07-19;14:24:57;16.9239;2.0;216.173;34.9273;6.25
5;2024-07-19;14:24:59;16.928;2.0;186.292;34.9242;6.5
5;2024-07-19;14:25:02;16.9305;2.0;198.806;34.9228;6.75
5;2024-07-19;14:25:04;16.9262;2.0;194.739;34.9268;7.0
5;2024-07-19;14:25:06;16.9277;1.0;183.466;34.9258;7.25
5;2024-07-19;14:25:08;16.9279;2.0;170.128;34.9265;7.5
5;2024-07-19;14:25:11;16.913;2.0;151.617;34.9338;7.75
